FID,ESTADO,ET_ID,PROYECTO,FechaAlta,Actualizad,LONGITUD,RED,TRAMO,SECTOR,PGOU,Shape__Length
93,RED ACTUAL,159,0,,,239,,0,,,300.28658693801
94,RED ACTUAL,322,0,,,158,,0,,,198.629684382779
95,RED ACTUAL,32,0,,,424,,0,,,535.001227431554
96,RED ACTUAL,160,0,,,1643,,0,,,2066.59722282136
97,RED ACTUAL,323,0,,,604,,0,,,761.672712752689
98,RED ACTUAL,33,0,,,702,,0,,,884.577603494464
99,RED ACTUAL,161,0,,,416,,0,,,522.953765449196
100,RED ACTUAL,162,0,,,231,,0,,,291.240089831568
101,RED ACTUAL,34,0,,,218,,0,,,274.52658299708
102,RED ACTUAL,324,0,,,199,,0,,,250.469796876124
103,RED ACTUAL,163,0,,,12,,0,,,15.1329739203624
104,RED ACTUAL,35,0,,,1292,,0,,,1628.48428674537
105,RED ACTUAL,36,0,,,413,,0,,,520.648617494189
106,RED ACTUAL,164,0,,,678,,0,,,853.105370802491
107,RED ACTUAL,0,0,3/13/2017 12:00:00 AM,,820,,0,,,1030.885428578
108,RED ACTUAL,37,0,,,1325,,0,,,1668.83403841718
109,RED ACTUAL,165,0,,,457,,0,,,574.453013411155
110,RED ACTUAL,0,0,3/13/2017 12:00:00 AM,,872,,0,,,1096.98529736196
111,RED ACTUAL,38,0,,,183,,0,,,230.423222847548
112,RED ACTUAL,166,0,,,1194,,0,,,1500.40335670107
113,RED ACTUAL,0,0,3/13/2017 12:00:00 AM,,14,,0,,,18.1041872788091
114,RED ACTUAL,39,0,,,302,,0,,,381.20377081184
115,RED ACTUAL,40,0,,,428,,0,,,538.143253116807
116,RED ACTUAL,0,0,3/13/2017 12:00:00 AM,,872,,0,,,1096.98529736196
117,RED ACTUAL,167,0,,,1825,,0,,,2294.03628128953
118,RED ACTUAL,41,0,,,424,,0,,,534.16130593952
119,RED ACTUAL,0,0,3/13/2017 12:00:00 AM,,820,,0,,,1030.885428578
120,RED ACTUAL,168,0,,,1451,,0,,,1830.13374587998
121,RED ACTUAL,42,0,,,36,,0,,,45.3385116020369
122,RED ACTUAL,169,0,,,1533,,0,,,1875.64292133326
123,RED ACTUAL,0,0,3/13/2017 12:00:00 AM,,391,,0,,,492.377544742383
124,RED ACTUAL,43,0,,,380,,0,,,479.074209082089
125,RED ACTUAL,170,0,,,445,,0,,,560.253634874488
126,RED ACTUAL,0,0,3/13/2017 12:00:00 AM,,872,,0,,,1096.98529736196
127,RED ACTUAL,44,0,,,192,,0,,,242.586143609108
128,RED ACTUAL,171,0,,,344,,0,,,433.89818496714
129,RED ACTUAL,0,0,3/13/2017 12:00:00 AM,,820,,0,,,1030.885428578
130,RED ACTUAL,45,0,,,261,,0,,,329.731635179431
131,RED ACTUAL,172,0,,,427,,0,,,538.514939387447
132,RED ACTUAL,46,0,,,1164,,0,,,1467.42810938696
133,RED ACTUAL,0,0,3/13/2017 12:00:00 AM,,391,,0,,,492.377544742383
134,RED ACTUAL,173,0,,,517,,0,,,651.597304811835
135,RED ACTUAL,47,0,,,386,,0,,,486.299892346256
136,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,,9,,0,,,11.0751580475825
137,RED ACTUAL,174,0,,,434,,0,,,547.014454674551
138,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,,6,,0,,,7.74058050605425
139,RED ACTUAL,48,0,,,116,,0,,,145.931477811273
140,RED ACTUAL,175,0,,,24,,0,,,30.2261297352413
141,RED ACTUAL,150,0,,,278,,0,,,350.356997630763
142,RED ACTUAL,49,0,,,453,,0,,,569.850537466741
143,RED ACTUAL,176,0,,,474,,0,,,596.696325201172
144,RED ACTUAL,0,0,3/13/2017 12:00:00 AM,,60,,0,,,75.0625784118621
145,RED ACTUAL,50,0,,,54,,0,,,67.5711336939804
146,RED ACTUAL,177,0,,,210,,0,,,263.96369152162
147,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,,615,,0,,,773.829153922517
148,RED ACTUAL,51,0,,,3152,,0,,,3956.30966983201
149,RED ACTUAL,178,0,,,274,,0,,,345.193104033075
150,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,,64,,0,,,80.9397898279715
151,RED ACTUAL,52,0,,3/17/2017 12:00:00 AM,850,,0,,,1068.80697789546
152,RED ACTUAL,179,0,,,441,,0,,,554.731508179654
153,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,,316,,0,,,398.630940354394
154,RED ACTUAL,53,0,,,416,,0,,,522.857420777778
155,RED ACTUAL,180,0,,,80,,0,,,100.628604576772
156,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,,50,,0,,,63.0054665288627
157,RED ACTUAL,54,0,,,257,,0,,,322.883433011888
158,RED ACTUAL,181,0,,,265,,0,,,332.665443788869
159,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,,11,,0,,,13.419865311528
160,RED ACTUAL,55,0,,,2225,,0,,,2805.48626354613
161,RED ACTUAL,182,0,,3/17/2017 12:00:00 AM,247,,0,,,310.452798500586
162,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,,313,,0,,,393.459536692884
163,RED ACTUAL,56,0,,3/17/2017 12:00:00 AM,699,,0,,,880.144446667366
164,RED ACTUAL,183,0,,,35,,0,,,43.8596290794065
165,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,,9,,0,,,11.5708550012515
166,RED ACTUAL,57,0,,,364,,0,,,458.645340578416
167,RED ACTUAL,184,0,,,266,,0,,,333.998276324344
168,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,,35,,0,,,43.6463962945111
169,RED ACTUAL,58,0,,,144,,0,,,181.730200463104
170,RED ACTUAL,185,0,,,149,,0,,,187.224260147161
171,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,,330,,0,,,416.006261525108
172,RED ACTUAL,59,0,,,446,,0,,,561.703710092835
173,RED ACTUAL,186,0,,,1099,,0,,,1381.28768623248
174,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,,209,,0,,,262.755560468968
175,RED ACTUAL,60,0,,,343,,0,,,431.562410907477
176,RED ACTUAL,187,0,,,295,,0,,,370.601720250641
177,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,,259,,0,,,326.066348071392
178,RED ACTUAL,61,0,,,798,,0,,,1006.70085807389
179,RED ACTUAL,188,0,,,120,,0,,,150.582650823926
180,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,,342,,0,,,431.224552441579
181,RED ACTUAL,62,0,,,49,,0,,,61.8621886108632
182,RED ACTUAL,189,0,,,517,,0,,,651.6511871168
183,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,,15,,0,,,18.758613396407
184,RED ACTUAL,63,0,,,192,,0,,,242.118427480435
185,RED ACTUAL,190,0,,,504,,0,,,635.428793254801
186,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,,72,,0,,,90.3605585752355
187,RED ACTUAL,64,0,,,803,,0,,,1012.38504537736
188,RED ACTUAL,191,0,,,342,,0,,,431.842315370535
189,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,,271,,0,,,341.938711034911
190,RED ACTUAL,65,0,,,641,,0,,,806.711817500949
191,RED ACTUAL,192,0,,,87,,0,,,109.908955970944
192,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,,24,,0,,,30.4310890481758
193,RED ACTUAL,66,0,,,369,,0,,,464.499599031243
194,RED ACTUAL,193,0,,,1007,,0,,,1268.50513512565
195,RED ACTUAL,67,0,,,236,,0,,,297.658743014588
196,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,12/30/1899 12:00:00 AM,28,,0,,,34.7043818271629
197,RED ACTUAL,194,0,,,299,,0,,,375.373618224217
198,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,12/30/1899 12:00:00 AM,63,,0,,,78.5625796136278
199,RED ACTUAL,68,0,,,112,,0,,,140.919611032065
200,RED ACTUAL,195,0,,,1967,,0,,,2474.0251974997
201,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,12/30/1899 12:00:00 AM,62,,0,,,78.0559162947129
202,RED ACTUAL,69,0,,,315,,0,,,396.85163048976
203,RED ACTUAL,196,0,,,111,,0,,,140.288178510234
204,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,12/30/1899 12:00:00 AM,39,,0,,,49.4644690761838
205,RED ACTUAL,70,0,,,88,,0,,,111.202018299955
206,RED ACTUAL,197,0,,,259,,0,,,325.155838258198
207,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,12/30/1899 12:00:00 AM,38,,0,,,47.7418807532679
208,RED ACTUAL,71,0,,,347,,0,,,436.483765042026
209,RED ACTUAL,198,0,,,1027,,0,,,1290.34668524363
210,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,12/30/1899 12:00:00 AM,40,,0,,,50.452973933682
211,RED ACTUAL,72,0,,,130,,0,,,164.005477090177
212,RED ACTUAL,199,0,,3/17/2017 12:00:00 AM,238,,0,,,300.32490739077
213,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,12/30/1899 12:00:00 AM,60,,0,,,75.1833978699062
214,RED ACTUAL,73,0,,,72,,0,,,90.1909436547929
215,RED ACTUAL,200,0,,,153,,0,,,192.444783529659
216,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,12/30/1899 12:00:00 AM,142,,0,,,178.700885903414
217,RED ACTUAL,74,0,,,268,,0,,,337.051554248703
218,RED ACTUAL,201,0,,,528,,0,,,664.57337460503
219,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,12/30/1899 12:00:00 AM,73,,0,,,91.785849743077
220,RED ACTUAL,75,0,,,131,,0,,,164.78662095402
221,RED ACTUAL,202,0,,,238,,0,,,299.220454498186
222,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,12/30/1899 12:00:00 AM,389,,0,,,490.284927968858
223,RED ACTUAL,203,0,,,169,,0,,,213.107625771936
224,RED ACTUAL,76,0,,,3350,,0,,,4219.8879701436
225,RED ACTUAL,293,0,,3/17/2017 12:00:00 AM,124,,0,,,155.74674718649
226,RED ACTUAL,204,0,,,38,,0,,,47.6130084832144
227,RED ACTUAL,77,0,,,327,,0,,,411.738597042686
228,RED ACTUAL,293,0,,3/17/2017 12:00:00 AM,224,,0,,,281.864362620055
229,RED ACTUAL,205,0,,,38,,0,,,47.1340819682834
230,RED ACTUAL,78,0,,,162,,0,,,204.390411244857
231,RED ACTUAL,0,0,12/30/1899 12:00:00 AM,12/30/1899 12:00:00 AM,36,,0,,,45.0076126976178
232,RED ACTUAL,206,0,,,38,,0,,,47.4525132784131
233,RED ACTUAL,79,0,,,355,,0,,,447.682957127559
234,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,12/30/1899 12:00:00 AM,11,,0,,,13.9678737838121
235,RED ACTUAL,207,0,,,44,,0,,,55.7057194312329
236,RED ACTUAL,80,0,,,370,,0,,,466.379924230549
237, ,0,0,12/30/1899 12:00:00 AM,3/17/2017 12:00:00 AM,0,,0,,,
238,RED ACTUAL,208,0,,,38,,0,,,47.5173467812624
239,RED ACTUAL,81,0,,,448,,0,,,564.784345349688
240,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,12/30/1899 12:00:00 AM,7,,0,,,9.10590498277003
241,RED ACTUAL,209,0,,,38,,0,,,47.6510977840708
242,RED ACTUAL,82,0,,,451,,0,,,568.356850294869
243,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,12/30/1899 12:00:00 AM,7,,0,,,9.31225781376153
244,RED ACTUAL,210,0,,,38,,0,,,47.407769066863
245,RED ACTUAL,211,0,,,28,,0,,,35.6495140311986
246,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,12/30/1899 12:00:00 AM,11,,0,,,13.4672637802184
247,RED ACTUAL,83,0,,,1319,,0,,,1661.40603065991
248,RED ACTUAL,212,0,,,28,,0,,,35.6630735574252
249,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,12/30/1899 12:00:00 AM,4,,0,,,5.17946527580226
250,RED ACTUAL,84,0,,,1041,,0,,,1311.28227797817
251,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,12/30/1899 12:00:00 AM,181,,0,,,226.939700938586
252,RED ACTUAL,213,0,,,23,,0,,,29.1192611781341
253,RED ACTUAL,85,0,,,854,,0,,,1074.76676532889
254,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,12/30/1899 12:00:00 AM,20,,0,,,25.6404953143489
255,RED ACTUAL,214,0,,,23,,0,,,29.0348387063641
256,RED ACTUAL,86,0,,,365,,0,,,459.441239369287
257,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,12/30/1899 12:00:00 AM,87,,0,,,109.392433481132
258,RED ACTUAL,215,0,,,50,,0,,,63.6047415735241
259,RED ACTUAL,87,0,,,408,,0,,,513.190142362281
260,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,12/30/1899 12:00:00 AM,135,,0,,,169.41996408189
261,RED ACTUAL,88,0,,,153,,0,,,192.757046654074
262,RED ACTUAL,216,0,,,51,,0,,,63.9534218621474
263,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,12/30/1899 12:00:00 AM,222,,0,,,279.313864244384
264,RED ACTUAL,89,0,,,513,,0,,,645.529127354321
265,RED ACTUAL,217,0,,,50,,0,,,63.179209718284
266,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,12/30/1899 12:00:00 AM,129,,0,,,162.458878656798
267,RED ACTUAL,90,0,,,491,,0,,,618.553588005868
268,RED ACTUAL,218,0,,,238,,0,,,299.584795970319
269,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,12/30/1899 12:00:00 AM,23,,0,,,29.0629044455191
270,RED ACTUAL,91,0,,,1080,,0,,,1359.70784982693
271,RED ACTUAL,219,0,,,349,,0,,,440.504922030417
272,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,12/30/1899 12:00:00 AM,77,,0,,,97.4870335164268
273,RED ACTUAL,92,0,,,96,,0,,,120.414723273227
