FID,ESTADO,ET_ID,PROYECTO,FechaAlta,Actualizad,LONGITUD,RED,TRAMO,SECTOR,PGOU,Shape__Length
362,RED ACTUAL,251,0,,,366,,0,,,460.401510405367
363,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,12/30/1899 12:00:00 AM,100,,0,,,125.170547033434
364,RED ACTUAL,122,0,,,519,,0,,,653.845024135204
365,RED ACTUAL,252,0,,,40,,0,,,49.8897274085611
366,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,12/30/1899 12:00:00 AM,125,,0,,,157.099326703551
367,RED ACTUAL,123,0,,,346,,0,,,435.523351379991
368,RED ACTUAL,253,0,,,257,,0,,,323.395561785509
369,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,12/30/1899 12:00:00 AM,81,,0,,,101.789825217492
370,RED ACTUAL,124,0,,,2001,,0,,,2521.16045904454
371,RED ACTUAL,254,0,,,256,,0,,,322.471893875809
372,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,12/30/1899 12:00:00 AM,12,,0,,,14.9298188700431
373,RED ACTUAL,125,0,,,2007,,0,,,2293.32099001799
374,RED ACTUAL,255,0,,,5655,,0,,,7128.51543406835
375,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,12/30/1899 12:00:00 AM,19,,0,,,23.986456277416
376,RED ACTUAL,126,0,,,209,,0,,,262.51017510059
377,RED ACTUAL,256,0,,,305,,0,,,384.524093354594
378,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,12/30/1899 12:00:00 AM,37,,0,,,46.2679708573733
379,RED ACTUAL,127,0,,,929,,0,,,1170.39193240063
380,RED ACTUAL,257,0,,,355,,0,,,447.595785799657
381,RED ACTUAL,0,0,4/3/2017 12:00:00 AM,12/30/1899 12:00:00 AM,37,,0,,,46.2597692161534
382,RED ACTUAL,128,0,,,897,,0,,,1127.34320411745
383,RED ACTUAL,0,0,4/3/2017 12:00:00 AM,12/30/1899 12:00:00 AM,15,,0,,,19.122418471704
384,RED ACTUAL,0,0,4/3/2017 12:00:00 AM,12/30/1899 12:00:00 AM,16,,0,,,20.6424209330437
385,RED ACTUAL,0,0,4/3/2017 12:00:00 AM,12/30/1899 12:00:00 AM,9,,0,,,11.0665938942025
386,RED ACTUAL,0,0,4/3/2017 12:00:00 AM,12/30/1899 12:00:00 AM,9,,0,,,11.3192436254661
